paper,setting,run_name,metric,published,source,ours,diff,status
FCFL,MNIST shards 100 clients,fcfl_mnist_shards_fedavg,accuracy_pct,95.96,Table 2 p.398,98.4900,+2.5300,GAP
FCFL,MNIST shards 100 clients,fcfl_mnist_shards_fedavg,variance_pct2,15.06,Table 2 p.398,4.1667,-10.8933,GAP
FCFL,MNIST shards 100 clients,fcfl_mnist_shards_fedavg,worst10_pct,87.47,Table 2 p.398,93.6667,+6.1967,GAP
FCFL,MNIST shards 100 clients,fcfl_mnist_shards_fedavg,best10_pct,100.00,Table 2 p.398,100.0000,+0.0000,OK
FCFL,MNIST shards 100 clients,fcfl_mnist_shards_qffl,accuracy_pct,96.09,Table 2 p.398 (q=0.2),97.8700,+1.7800,OK
FCFL,MNIST shards 100 clients,fcfl_mnist_shards_qffl,variance_pct2,12.58,Table 2 p.398 (q=0.2),5.5831,-6.9969,GAP
FCFL,MNIST shards 100 clients,fcfl_mnist_shards_qffl,worst10_pct,88.40,Table 2 p.398 (q=0.2),92.3333,+3.9333,GAP
FCFL,MNIST shards 100 clients,fcfl_mnist_shards_fcfl,accuracy_pct,96.06,Table 2 p.398 (alpha=0.3 r=0.4),98.8500,+2.7900,GAP
FCFL,MNIST shards 100 clients,fcfl_mnist_shards_fcfl,variance_pct2,11.03,Table 2 p.398,2.1586,-8.8714,GAP
FCFL,MNIST shards 100 clients,fcfl_mnist_shards_fcfl,worst10_pct,89.17,Table 2 p.398,95.8333,+6.6633,GAP
FCFL,MNIST shards 100 clients,fcfl_mnist_shards_fcfl,best10_pct,100.00,Table 2 p.398,100.0000,+0.0000,OK
LoGoFair,Adult alpha=0.5 5 clients DP,logofair_adult_a0.5_fedavg,accuracy,0.8381,Table 1 p.6,0.8415,+0.0034,OK
LoGoFair,Adult alpha=0.5 5 clients DP,logofair_adult_a0.5_fedavg,local_dp_max,0.1922,Table 1 p.6,0.1853,-0.0069,OK
LoGoFair,Adult alpha=0.5 5 clients DP,logofair_adult_a0.5_fedavg,global_dp,0.1759,Table 1 p.6,0.1662,-0.0097,OK
LoGoFair,Adult alpha=0.5 5 clients DP,logofair_adult_a0.5_g,accuracy,0.8218,Table 1 p.6,0.8268,+0.0050,OK
LoGoFair,Adult alpha=0.5 5 clients DP,logofair_adult_a0.5_g,local_dp_max,0.0889,Table 1 p.6,0.0208,-0.0681,GAP
LoGoFair,Adult alpha=0.5 5 clients DP,logofair_adult_a0.5_g,global_dp,0.0183,Table 1 p.6,0.0110,-0.0073,OK
LoGoFair,Adult alpha=0.5 5 clients DP,logofair_adult_a0.5_l,accuracy,0.8252,Table 1 p.6,0.8245,-0.0007,OK
LoGoFair,Adult alpha=0.5 5 clients DP,logofair_adult_a0.5_l,local_dp_max,0.0367,Table 1 p.6,0.0258,-0.0109,GAP
LoGoFair,Adult alpha=0.5 5 clients DP,logofair_adult_a0.5_l,global_dp,0.0468,Table 1 p.6,0.0128,-0.0340,GAP
LoGoFair,Adult alpha=0.5 5 clients DP,logofair_adult_a0.5_lg,accuracy,0.8214,Table 1 p.6,0.8237,+0.0023,OK
LoGoFair,Adult alpha=0.5 5 clients DP,logofair_adult_a0.5_lg,local_dp_max,0.0489,Table 1 p.6,0.0291,-0.0198,GAP
LoGoFair,Adult alpha=0.5 5 clients DP,logofair_adult_a0.5_lg,global_dp,0.0204,Table 1 p.6,0.0064,-0.0140,GAP
LoGoFair,Adult alpha=5 5 clients DP,logofair_adult_a5_fedavg,accuracy,0.8418,Table 1 p.6,0.8383,-0.0035,OK
LoGoFair,Adult alpha=5 5 clients DP,logofair_adult_a5_fedavg,local_dp_max,0.182,Table 1 p.6,0.1815,-0.0005,OK
LoGoFair,Adult alpha=5 5 clients DP,logofair_adult_a5_fedavg,global_dp,0.1725,Table 1 p.6,0.1685,-0.0040,OK
LoGoFair,Adult alpha=5 5 clients DP,logofair_adult_a5_g,accuracy,0.8264,Table 1 p.6,0.8280,+0.0016,OK
LoGoFair,Adult alpha=5 5 clients DP,logofair_adult_a5_g,local_dp_max,0.0399,Table 1 p.6,0.0261,-0.0138,GAP
LoGoFair,Adult alpha=5 5 clients DP,logofair_adult_a5_g,global_dp,0.0104,Table 1 p.6,0.0223,+0.0119,GAP
LoGoFair,Adult alpha=5 5 clients DP,logofair_adult_a5_l,accuracy,0.8237,Table 1 p.6,0.8243,+0.0006,OK
LoGoFair,Adult alpha=5 5 clients DP,logofair_adult_a5_l,local_dp_max,0.0252,Table 1 p.6,0.0406,+0.0154,GAP
LoGoFair,Adult alpha=5 5 clients DP,logofair_adult_a5_l,global_dp,0.0215,Table 1 p.6,0.0131,-0.0084,OK
LoGoFair,Adult alpha=5 5 clients DP,logofair_adult_a5_lg,accuracy,0.8244,Table 1 p.6,0.8239,-0.0005,OK
LoGoFair,Adult alpha=5 5 clients DP,logofair_adult_a5_lg,local_dp_max,0.0259,Table 1 p.6,0.0361,+0.0102,GAP
LoGoFair,Adult alpha=5 5 clients DP,logofair_adult_a5_lg,global_dp,0.0138,Table 1 p.6,0.0075,-0.0063,OK
LoGoFair,Adult alpha=100 5 clients DP,logofair_adult_a100_fedavg,accuracy,0.8466,Table 1 p.6,0.8386,-0.0080,OK
LoGoFair,Adult alpha=100 5 clients DP,logofair_adult_a100_fedavg,local_dp_max,0.1802,Table 1 p.6,0.1893,+0.0091,OK
LoGoFair,Adult alpha=100 5 clients DP,logofair_adult_a100_fedavg,global_dp,0.1759,Table 1 p.6,0.1807,+0.0048,OK
LoGoFair,Adult alpha=100 5 clients DP,logofair_adult_a100_g,accuracy,0.8297,Table 1 p.6,0.8278,-0.0019,OK
LoGoFair,Adult alpha=100 5 clients DP,logofair_adult_a100_g,local_dp_max,0.0368,Table 1 p.6,0.0508,+0.0140,GAP
LoGoFair,Adult alpha=100 5 clients DP,logofair_adult_a100_g,global_dp,0.0282,Table 1 p.6,0.0301,+0.0019,OK
LoGoFair,Adult alpha=100 5 clients DP,logofair_adult_a100_l,accuracy,0.8288,Table 1 p.6,0.8230,-0.0058,OK
LoGoFair,Adult alpha=100 5 clients DP,logofair_adult_a100_l,local_dp_max,0.0335,Table 1 p.6,0.0201,-0.0134,GAP
LoGoFair,Adult alpha=100 5 clients DP,logofair_adult_a100_l,global_dp,0.0379,Table 1 p.6,0.0067,-0.0312,GAP
LoGoFair,Adult alpha=100 5 clients DP,logofair_adult_a100_lg,accuracy,0.8283,Table 1 p.6,0.8223,-0.0060,OK
LoGoFair,Adult alpha=100 5 clients DP,logofair_adult_a100_lg,local_dp_max,0.0362,Table 1 p.6,0.0167,-0.0195,GAP
LoGoFair,Adult alpha=100 5 clients DP,logofair_adult_a100_lg,global_dp,0.0297,Table 1 p.6,0.0027,-0.0270,GAP
FedFDP,MNIST Dir0.1 10 clients eps3.52,fedfdp_mnist_fedavg_dp,accuracy_pct,93.40,Table 3 p.15 (DP FedAvg),,,NOT RUN
FedFDP,MNIST Dir0.1 10 clients eps3.52,fedfdp_mnist_fedfdp,accuracy_pct,95.13,Table 3 p.15 (Table 5 says 94.13),,,NOT RUN
FedMut,CIFAR-10 cnn_cifar d0.1 100 clients,fedmut_cifar10_cnn_cifar_d0.1_fedavg,accuracy_last10_pct,47.93,Table 1 p.12534,,,NOT RUN
FedMut,CIFAR-10 cnn_cifar d0.1 100 clients,fedmut_cifar10_cnn_cifar_d0.1_fedmut,accuracy_last10_pct,51.25,Table 1 p.12534,,,NOT RUN
FedMut,CIFAR-10 cnn_cifar d0.5 100 clients,fedmut_cifar10_cnn_cifar_d0.5_fedavg,accuracy_last10_pct,54.33,Table 1 p.12534,,,NOT RUN
FedMut,CIFAR-10 cnn_cifar d0.5 100 clients,fedmut_cifar10_cnn_cifar_d0.5_fedmut,accuracy_last10_pct,56.9,Table 1 p.12534,,,NOT RUN
FedMut,CIFAR-10 cnn_cifar d1.0 100 clients,fedmut_cifar10_cnn_cifar_d1.0_fedavg,accuracy_last10_pct,57.0,Table 1 p.12534,,,NOT RUN
FedMut,CIFAR-10 cnn_cifar d1.0 100 clients,fedmut_cifar10_cnn_cifar_d1.0_fedmut,accuracy_last10_pct,58.9,Table 1 p.12534,,,NOT RUN
FedMut,CIFAR-10 cnn_cifar iid 100 clients,fedmut_cifar10_cnn_cifar_iid_fedavg,accuracy_last10_pct,57.32,Table 1 p.12534,,,NOT RUN
FedMut,CIFAR-10 cnn_cifar iid 100 clients,fedmut_cifar10_cnn_cifar_iid_fedmut,accuracy_last10_pct,59.7,Table 1 p.12534,,,NOT RUN
FedMut,CIFAR-10 resnet18 d0.1 100 clients,fedmut_cifar10_resnet18_d0.1_fedavg,accuracy_last10_pct,44.41,Table 1 p.12534,,,NOT RUN
FedMut,CIFAR-10 resnet18 d0.1 100 clients,fedmut_cifar10_resnet18_d0.1_fedmut,accuracy_last10_pct,55.43,Table 1 p.12534,,,NOT RUN
FedMut,CIFAR-10 resnet18 d0.5 100 clients,fedmut_cifar10_resnet18_d0.5_fedavg,accuracy_last10_pct,61.75,Table 1 p.12534,,,NOT RUN
FedMut,CIFAR-10 resnet18 d0.5 100 clients,fedmut_cifar10_resnet18_d0.5_fedmut,accuracy_last10_pct,67.89,Table 1 p.12534,,,NOT RUN
FedMut,CIFAR-10 resnet18 d1.0 100 clients,fedmut_cifar10_resnet18_d1.0_fedavg,accuracy_last10_pct,65.88,Table 1 p.12534,,,NOT RUN
FedMut,CIFAR-10 resnet18 d1.0 100 clients,fedmut_cifar10_resnet18_d1.0_fedmut,accuracy_last10_pct,70.01,Table 1 p.12534,,,NOT RUN
FedMut,CIFAR-10 resnet18 iid 100 clients,fedmut_cifar10_resnet18_iid_fedavg,accuracy_last10_pct,64.08,Table 1 p.12534,,,NOT RUN
FedMut,CIFAR-10 resnet18 iid 100 clients,fedmut_cifar10_resnet18_iid_fedmut,accuracy_last10_pct,70.63,Table 1 p.12534,,,NOT RUN
FedCDA,fmnist shards2 20 clients,fedcda_fmnist_shards2_fedavg,accuracy_last10_pct,64.69,Table 1 p.8,,,NOT RUN
FedCDA,fmnist shards2 20 clients,fedcda_fmnist_shards2_fedcda,accuracy_last10_pct,66.3,Table 1 p.8,,,NOT RUN
FedCDA,fmnist shards4 20 clients,fedcda_fmnist_shards4_fedavg,accuracy_last10_pct,74.78,Table 1 p.8,,,NOT RUN
FedCDA,fmnist shards4 20 clients,fedcda_fmnist_shards4_fedcda,accuracy_last10_pct,76.59,Table 1 p.8,,,NOT RUN
FedCDA,fmnist shards8 20 clients,fedcda_fmnist_shards8_fedavg,accuracy_last10_pct,76.81,Table 1 p.8,,,NOT RUN
FedCDA,fmnist shards8 20 clients,fedcda_fmnist_shards8_fedcda,accuracy_last10_pct,78.99,Table 1 p.8,,,NOT RUN
FedCDA,fmnist dir0.1 20 clients,fedcda_fmnist_dir0.1_fedavg,accuracy_last10_pct,71.81,Table 1 p.8,,,NOT RUN
FedCDA,fmnist dir0.1 20 clients,fedcda_fmnist_dir0.1_fedcda,accuracy_last10_pct,78.63,Table 1 p.8,,,NOT RUN
FedCDA,fmnist dir0.3 20 clients,fedcda_fmnist_dir0.3_fedavg,accuracy_last10_pct,75.97,Table 1 p.8,,,NOT RUN
